capitalCity,longitude,latitude,name,Year,Country,Country_url,Region Code,Region,Overall Rank,Happiness Score,GDP per capita,Family,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness Status
Gaborone,25.9201,-24.6544,Botswana,2018.0,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,19.0,AMERICAS,390.0,3.59,1.017,0.0,1.174,0.417,0.557,0.042,0.092,Amber
Gaborone,25.9201,-24.6544,Botswana,2019.0,Botswana,,0.0,,546.0,3.488,1.041,0.0,1.145,0.538,0.455,0.025,0.1,Amber
,,,Sub-Saharan Africa (IFC classification),,,,,,,,,,,,,,,
Bangui,21.6407,5.63056,Central African Republic,2017.0,Central African Republic,,0.0,,235.0,2.693000078,0.0,0.0,0.0,0.018772686,0.270842046,0.280876487,0.056565076,Amber
Bangui,21.6407,5.63056,Central African Republic,2018.0,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg,2.0,AFRICA,390.0,3.083,0.024,0.0,0.0,0.01,0.305,0.218,0.038,Amber
Bangui,21.6407,5.63056,Central African Republic,2019.0,Central African Republic,,0.0,,546.0,3.083,0.026,0.0,0.0,0.105,0.225,0.235,0.035,Amber
Ottawa,-75.6919,45.4215,Canada,2016.0,Canada,,0.0,,79.0,7.404,1.44015,1.0961,0.0,0.8276,0.5737,0.44834,0.31329,Green
Ottawa,-75.6919,45.4215,Canada,2017.0,Canada,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,2.0,AFRICA,235.0,7.315999985,1.479204416,1.481348991,0.0,0.834557652,0.611100912,0.435539722,0.287371516,Green
Ottawa,-75.6919,45.4215,Canada,2018.0,Canada,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19.0,AMERICAS,390.0,7.328,1.33,0.0,1.532,0.896,0.653,0.321,0.291,Green
Ottawa,-75.6919,45.4215,Canada,2019.0,Canada,,0.0,,546.0,7.278,1.365,0.0,1.505,1.039,0.584,0.285,0.308,Green
,,,East Asia and the Pacific (IFC classification),,,,,,,,,,,,,,,
,,,Central Europe and the Baltics,,,,,,,,,,,,,,,
,,,Europe and Central Asia (IFC classification),,,,,,,,,,,,,,,
Bern,7.44821,46.948,Switzerland,2016.0,Switzerland,,0.0,,79.0,7.509,1.52733,1.14524,0.0,0.86303,0.58557,0.28083,0.41203,Green
Bern,7.44821,46.948,Switzerland,2017.0,Switzerland,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,9.0,OCEANIA,235.0,7.493999958,1.564979553,1.516911745,0.0,0.858131289,0.620070577,0.290549278,0.367007285,Green
Bern,7.44821,46.948,Switzerland,2018.0,Switzerland,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2.0,AFRICA,390.0,7.487,1.42,0.0,1.549,0.927,0.66,0.256,0.357,Green
Bern,7.44821,46.948,Switzerland,2019.0,Switzerland,,0.0,,546.0,7.48,1.452,0.0,1.526,1.052,0.572,0.263,0.343,Green
,,,Channel Islands,,,,,,,,,,,,,,,
Santiago,-70.6475,-33.475,Chile,2016.0,Chile,,0.0,,79.0,6.705,1.2167,0.90587,0.0,0.81883,0.37789,0.31595,0.11451,Green
Santiago,-70.6475,-33.475,Chile,2017.0,Chile,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,9.0,OCEANIA,235.0,6.65199995,1.25278461,1.284024954,0.0,0.819479704,0.376895279,0.326662421,0.082287982,Green
Santiago,-70.6475,-33.475,Chile,2018.0,Chile,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg,0.0,,390.0,6.476,1.131,0.0,1.331,0.808,0.431,0.197,0.061,Green
Santiago,-70.6475,-33.475,Chile,2019.0,Chile,,0.0,,546.0,6.444,1.159,0.0,1.369,0.92,0.357,0.187,0.056,Green
